Article ID,Comments,Label(s),Link to Article,Type
20787,System shd send the alert to respective logistic team lead instead of let sellers fill up the form as  often fill up few times also no action fr team!,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/20787?utm_medium=notification&utm_source=appar&__dsrn__=1,article
20218,"does not show how the FHR gets tabulated into a % figure. am sending out all orders placed before 2pm within the same day, Mon-sat. But FHR below 90%.","['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article
14005,better to have a function that allows seller to MASS DELETE or MASS DELIST ,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/14005/how-to-delete-a-listing-,article
6848,Separate buyer and seller chat. I am penalised because of seller auto sending me messages which I dont reply because I am a seller as well.,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/6848/use-shopee-seller-chat,article
19522,There is no appeal button to click for a wrong suggested category,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/19522,article
6285,It did not mentioned that if products under promotion not able to turn on vacation mode,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/6285/vacation-mode-faqs,article
15549,Totally don't understand the part on Obtaining links for images (evidence) uploaded to your Google Drive! Kindly make it more user friendly!,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/15549,article
19756,If buyer choose self collection point and locker but didn't go collect the parcel? Who should bear the shipping cost? Buyer should be responsible too,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/19756/Announcement-article-for-2024-policy-changes,article
6823,What about the time of purchase or doesn't it count? If buyer paid on Monday 23:59 that counts as Monday? And shipped by Wednesday? ,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/6823?utm_medium=notification&utm_source=appar&__dsrn__=1,article
16950,No pop-up message shown when logged in. How to verify????,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/16950/Verifying-Seller-Identity-via-Seller-Centre-and-Shopee-App,article
18430,"Asking seller to include GTIN/EAN in my listing, but didn't show how to generate the its and where to get.Please do something to help the seller ","['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/18430,article
14903,The attributes in this sizing charts are too 1 dimension and insufficient to cover the proper information for consumers to under sizing.,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/14903,article
15649,"So if the seller is new and the item is super bulky, how am I going to bring to destinated location point if there is no pick up service? ","['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/15649/Pick-up-Service-Criteria-for-Standard-Delivery-Channel,article
825,Need to explain what are Search Ads and Discovery Ads and how will these ads appear in the seller listing. Show examples.,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/825/shopee-ads,article
15157,There is no ruler for Seller not fairly penalized for malpractice - supplied wrong/damaged products,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/15157?utm_medium=notification&utm_source=webar,article
12348,The auo-refund/return process needs to be changed,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/12348,article
12637,"3PLs are unable to meet the delivery time driver would arrive past the opening hours, and take a picture of a closed office -mark as no item 2 pickup","['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/12637,article
6841,for every listing there's a model for that product with various sizes. i have stock for some sizes but other sizes need pre-order . I unable set ,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/6841,article
12637,"Will there discount for self drop off? If not, why we want to self drop off to warehouse which is the location is far away. ","['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/12637,article
2561,"Please provide a detail clear explanation on which keyword the seller has used causing the keyword spam, else the seller has to keep on editng title. ","['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/2561,article
2561,"Product tittle should be enable to put all relevant wording, as different buyer will search using different wording. For instance T-shirt, Tee, .... ","['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/2561,article
257,Shopee should come out a seller calculator just key in selling price and we can get the take back amount.,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/257,article
10831,"1. Has a clearly printed Air Waybill (AWB)SPX Service Points will not accept any parcels with AWB. -> Is this a typo? Should be ""without AWB""?","['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/10831,article
257,The Transation formula doesnt not reflect the correct rates when i check with the invoice. It closer to 2.33%(2.16% + 8% )? than 2% + 8%,"['Constructive Criticism', 'Negative Complaint']",https://seller.shopee.sg/edu/article/257,article
23634,"The team should think along the purchase amount & not by product category for benefit to everyone, be it Shopee, Seller & customer. Thabk you ",['Constructive Criticism'],https://seller.shopee.sg/edu/article/23634?utm_medium=notification&utm_source=appar&__dsrn__=1,article
2548,Did not state need to wait how long before a promotion can be set after price increase.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/2548/,article
9625,"It says that this only applies for selected sellers, what about others? Thanks.",['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
22213,This is way too complicated and so much work for the sellers... please simplify.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/22213,article
9625,It does not contain information on what are the criteria that need to be met in order to be qualified for MPQ option.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
20159,"Shopee should automatically refund when shopee accept COM , not ask seller to do additional work to submit this and that, this is shopee responsibity",['Constructive Criticism'],https://seller.shopee.sg/edu/article/20159/Change-of-Mind-Seller-Shipping-Fee-Subsidy,article
11182,There is no explanation on how the CRR is calculated.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/11182/chat-response-rate-faqs,article
7088,outdated instruction with new crm setting,['Constructive Criticism'],https://seller.shopee.sg/edu/article/7088/about-chat-broadcast,article
14291,Give actual contact numbers/persons that we can contact that can provide help within the day as this is a pick up issue.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/14291/delivery-dispatch-fails-pickup,article
20218,If the logistic shippers are ready to pick up all parcels then it will be easily for us sellers to commit the fast hand over period.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article
20016,"Shopee should stop the NDD program, base on always no one pick up after arrangement, this will cause seller in trouble, and seller will penalty by sys",['Constructive Criticism'],https://seller.shopee.sg/edu/article/20016,article
739,you can just add links application/shop requirement/hardware requirement all together,['Constructive Criticism'],https://seller.shopee.sg/edu/article/739,article
13107,need more detailed example,['Constructive Criticism'],https://seller.shopee.sg/edu/article/13107/seller-fees,article
9625,Could not find Minimum Purchase Quantity in excle,['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
17794,"I need to know how to edit campaign prices that are under review, but it wasn't stated. ",['Constructive Criticism'],https://seller.shopee.sg/edu/article/17794/price-teaser,article
9625,unable to view links upon clicking and did not state ways of being selected for eligibility of setting minimum order quantity,['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
15645,There is no reason stated on the listing why the product was banned. The product is not violating any of shopee's policies.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/15645/resolve-ban-listing,article
50,Chat response stats need to be separate for seller and buyer. I recently started a shop and it seems my chat response stats as seller is now affected,['Constructive Criticism'],https://seller.shopee.sg/edu/article/50/understanding-chat-response,article
16477,No sample calculations on how shopee charges the seller,['Constructive Criticism'],https://seller.shopee.sg/edu/article/16477/shopee-selling-fees,article
6823,How about if no pick up from spx are courier being penalise ,['Constructive Criticism'],https://seller.shopee.sg/edu/article/6823,article
15775,what happen if the buyer buy wrong item and we as a seller don't mind to refund the buyer? why we get penalized? we should reject returns? ,['Constructive Criticism'],https://seller.shopee.sg/edu/article/15775/shopee-fulfilment-policy-faq,article
17155,The is no information on how much is the campaign deck we need to pay upfront as well as the package entitlement to join.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/17155,article
9625,I still cannot set MOQ!! There is no option for setting MOQ under my sales information. ,['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
16368,There is no upload images button or icon in my product description. It can only be text,['Constructive Criticism'],https://seller.shopee.sg/edu/article/16368/image-product-description,article
6858,"No clear and correct detail given (a proper method) under ""Suggestion"" ",['Constructive Criticism'],https://seller.shopee.sg/edu/article/6858/shopee-listing-violation-policy,article
2583,Transation fee is not the same as commission fee?,['Constructive Criticism'],https://seller.shopee.sg/edu/article/2583,article
9625,"There is no ""Minimum Purchase Quantity"" field in the product details page and mass upload template.",['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
2548,the listing should not be deleted if the seller had submitted the document,['Constructive Criticism'],https://seller.shopee.sg/edu/article/2548?utm_medium=notification&utm_source=webar,article
16920,Can give Example how it workIf not can understand at all,['Constructive Criticism'],https://seller.shopee.sg/edu/article/16920/2023-gst-rate-changes?utm_medium=notification&utm_source=webar,article
3693,"I need this function. My user id is ""amee.sg"" without the quotes. Please give me the feature",['Constructive Criticism'],https://seller.shopee.sg/edu/article/3693,article
7770,Is this related to how I can list my product and get it listed in Digital Products section in Shopee App? ,['Constructive Criticism'],https://seller.shopee.sg/edu/article/7770,article
168,Please add more selections for seller cancel buyer order due to un contactable. ,['Constructive Criticism'],https://seller.shopee.sg/edu/article/168/calculate-non-fulfilment-rate-NFR,article
168,"If is small seller, ordered number low, even with 1 returned parcel, the percentage hit is easily high? Don’t shopee should create tier achievement? ",['Constructive Criticism'],https://seller.shopee.sg/edu/article/168/calculate-non-fulfilment-rate-NFR,article
15554,"Could show the process of applying for license of it? Including SFA account as Foreigner, Singpass, fee and IRAS etc.",['Constructive Criticism'],https://seller.shopee.sg/edu/article/15554,article
14796,i wanted to apply for own fleet use but the google form wrote that it is no longer accepting responses. How do i go about doing so?,['Constructive Criticism'],https://seller.shopee.sg/edu/article/14796,article
14912,At least replace their names with username. This is so troublesome when packing orders.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/14912,article
15157,Does buyer hv to pay to return faulty/wrong order when its not buyer's fault? How about overseas seller? ,['Constructive Criticism'],https://seller.shopee.sg/edu/article/15157?utm_medium=notification&utm_source=apppn&__source__=push_notification,article
181,Should provide the link to report violations.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/181/listing-violations-types,article
6569,how to amend if the name is wrongly key in.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/6569/Adding-your-brand-to-Shopee-database,article
12349,Should let sellers to reject the buyer's return / refund in the first place.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/12349,article
25,can add information about how to become a preferred seller?,['Constructive Criticism'],https://seller.shopee.sg/edu/article/25,article
2450,"From 1st May, are sellers charged both transaction fee and commission fee? Please write clearly.",['Constructive Criticism'],https://seller.shopee.sg/edu/article/2450?previousPage=other%20articles,article
12551,"If customer doesn't select free shipping voucher, does Seller participating in Free Shipping Programme still need to pay 2.14% fee? ",['Constructive Criticism'],https://seller.shopee.sg/edu/article/12551?utm_medium=notification&utm_source=appar,article
16368,"in my product description area, i cannot see any upload button to click for my picture selection for uploading, Why?","['Design Feedback', 'Constructive Criticism']",https://seller.shopee.sg/edu/article/16368/image-product-description,article
16368,Unable to add images within the product,"['Design Feedback', 'Constructive Criticism']",https://seller.shopee.sg/edu/article/16368/image-product-description,article
17318,Unable to add images within the product,"['Design Feedback', 'Constructive Criticism']",https://seller.shopee.sg/edu/article/17318/product-images-3-4-ratio,article
18839,Very difficult to find shippng location over 5kg,"['Design Feedback', 'Constructive Criticism']",https://seller.shopee.sg/edu/article/18839,article
11889,Unable to disable Shopee Xpress shipping channel,"['Design Feedback', 'Constructive Criticism']",https://seller.shopee.sg/edu/article/11889/set-shipping-channels,article
9625,I cannot find the minimum purchase quantity feature,"['Design Feedback', 'Constructive Criticism']",https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,This is done in 2021. The layout now does not have the minimum purchase quantity.,"['Design Feedback', 'Negative Complaint']",https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
1438,The opening hours for J&T drop off are inaccurate. It wasted a lot of my time going to various drop off point and realised they are all closed. ,"['Design Feedback', 'Negative Complaint']",https://seller.shopee.sg/edu/article/1438,article
1643,Perishable food but seller own fleet delivery transport car are different each time so non of the supported delivery help and can be apply for.,"['Design Feedback', 'Negative Complaint']",https://seller.shopee.sg/edu/article/1643/use-other-shipping-channels,article
3272,not clear information ,"['Design Feedback', 'Negative Complaint']",https://seller.shopee.sg/edu/article/3272/shipping-fee-included-removal,article
9625,there is no column to update minimum qty under my product page,"['Design Feedback', 'Negative Complaint']",https://seller.shopee.sg/edu/article/9625,article
1104,Did not help answer why standard economy shipping changed from 0.00 to 0.60,"['Design Feedback', 'Negative Complaint']",https://seller.shopee.sg/edu/article/1104,article
2509,"How do we tell if it's pick up or drop off option, it's not stated under shipping channels","['Design Feedback', 'Negative Complaint']",https://seller.shopee.sg/edu/article/2509,article
15999,Any contact number to call or email?,"['Design Feedback', 'Unknown']",https://seller.shopee.sg/edu/article/15999/contact-shopee-customer-service,article
7775,Hi We don't have a local base in Singapore. Would you please provide the information about how to sell on Shopee? Our brand: vivantwine.com.tw,['Design Feedback'],https://seller.shopee.sg/edu/article/7775,article
12348,i need a link to raise dispute as I am cross border seller which received my returned parcel after many days,['Design Feedback'],https://seller.shopee.sg/edu/article/12348/return-refund-dispute-,article
2760,pls remove JNT from my shop! thank you ,['Design Feedback'],https://seller.shopee.sg/edu/article/2760/Fulfilment-policy-for-use-of-non-integrated-channels,article
14467,I need to find the link on PC since im a Malaysia seller and having Shopee SG on my phone is legally not possible,['Design Feedback'],https://seller.shopee.sg/edu/article/14467,article
71,The information did not tell us on how we can select our preferred 3PL partners.,['Design Feedback'],https://seller.shopee.sg/edu/article/71/about-shopee-supported-logistics?utm_medium=notification&utm_source=webar,article
6823,Saturday DTS should not be a working day,['Design Feedback'],https://seller.shopee.sg/edu/article/6823,article
20218,How can uparcel seller get fast hand over rate when order placed before 2pm must be scanned in 2359 on the same day as uparcel can't do that ,['Design Feedback'],https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article
7039,What about frozen products such as seafood and ice-cream?,['Design Feedback'],https://seller.shopee.sg/edu/article/7039,article
19522,Theres no appeal button where it supposed to be,['Design Feedback'],https://seller.shopee.sg/edu/article/19522,article
12279,The product video does not display play button despite following instruction,['Design Feedback'],https://seller.shopee.sg/edu/article/12279/product-videos,article
801,How to change SSL ?,['Design Feedback'],https://seller.shopee.sg/edu/article/801,article
6806,where is the link to start?,['Design Feedback'],https://seller.shopee.sg/edu/article/6806,article
11469,i cant find the option for full screen option in chat box corner,['Design Feedback'],https://seller.shopee.sg/edu/article/11469/navigate-shopee-seller-chat-pc,article
6850,Our sub account dont have message suggestion pop up after creating shortcuts ,['Design Feedback'],https://seller.shopee.sg/edu/article/6850/about-chat-assistant,article
16368,There's no add image option now,['Design Feedback'],https://seller.shopee.sg/edu/article/16368/image-product-description,article
16368,"there is no ""Add Images"" tab for my account",['Design Feedback'],https://seller.shopee.sg/edu/article/16368/image-product-description,article
2760,Signpost normal delivery ,['Design Feedback'],https://seller.shopee.sg/edu/article/2760/Fulfilment-policy-for-use-of-non-integrated-channels,article
16064,I would like to know where are the self-collection point.,['Design Feedback'],https://seller.shopee.sg/edu/article/16064/SPX-self-collection-channel,article
15999,"There isn't ""chat with live agent"" icon.",['Design Feedback'],https://seller.shopee.sg/edu/article/15999/contact-shopee-customer-service,article
16368,How to be selected seller to upload images?,['Design Feedback'],https://seller.shopee.sg/edu/article/16368/image-product-description,article
18430,GTIN/EANがない場合の対処方法が書いていない,['Design Feedback'],https://seller.shopee.sg/edu/article/18430,article
15361,So where is the link to request pick up?,['Design Feedback'],https://seller.shopee.sg/edu/article/15361/shipping-channels-pick-up,article
749,How to help buyer to locate their parcel,['Design Feedback'],https://seller.shopee.sg/edu/article/749,article
8318,how do I become a selected seller for max purchase limit?,['Design Feedback'],https://seller.shopee.sg/edu/article/8318,article
7029,Unable to upload previous version template (before 24/Apr/2023),['Design Feedback'],https://seller.shopee.sg/edu/article/7029/about-mass-update,article
16368,I don't see a add image tab in product description... why?,['Design Feedback'],https://seller.shopee.sg/edu/article/16368/image-product-description,article
14234,In shopee app adding variations isn't applicable ,['Design Feedback'],https://seller.shopee.sg/edu/article/14234/product-variations-,article
9625,Minimum order quantity is no longer visible (SAFARI MAC OS),['Design Feedback'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
17662,the video link is not working,['Design Feedback'],https://seller.shopee.sg/edu/article/17662,article
16368,There isn't this option anymore on product description ,['Design Feedback'],https://seller.shopee.sg/edu/article/16368/image-product-description,article
14005,No solution to delete shop,['Design Feedback'],https://seller.shopee.sg/edu/article/14005/how-to-delete-a-listing-,article
3693,I do not have the option in my seller page,['Design Feedback'],https://seller.shopee.sg/edu/article/3693,article
9326,Service point and operating hours broken link,['Design Feedback'],https://seller.shopee.sg/edu/article/9326,article
10792,There is no DTS in my Product Details page,['Design Feedback'],https://seller.shopee.sg/edu/article/10792,article
71,Using spx requires lpn id and pin which was now showed where to obtain these infor,['Design Feedback'],https://seller.shopee.sg/edu/article/71/about-shopee-supported-logistics,article
801,Outdated info on j & T pick up for all sellers,['Design Feedback'],https://seller.shopee.sg/edu/article/801,article
1643,How come I do not have shopee express selection for delivery to send out ,['Design Feedback'],https://seller.shopee.sg/edu/article/1643,article
15623,It doesnot help seller to improve. Don’t you think the shipping cost of 1-5kg is ridiculously high?,"['Negative Complaint', 'Constructive Criticism']",https://seller.shopee.sg/edu/article/15623/Seller-Shipping-Fees-Adjustment,article
22213,Useless implementation. Its going to create more unnecessary issues for logistics. The person who pushed this implementation should reconsider his job,"['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/22213,article
6836,"To support small entrepreneur, please give more greenlight and intensive. Shopee wanted to limit pre-order less than 5%, a lot of charges on sellee","['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/6836,article
9326,I want to change my shipping chanel from j&t to spxBut there NOOption for me to do so,"['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/9326,article
6806,I'm trying to find categories such as Food Supplement but there is no result in the page (https://seller.shopee.sg/edu/category-guide),"['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/6806,article
19756,"Large parcel is ready, but logistic never come to pickup but update system to 'Parcel not ready, pickup failed', then missed deadline ? Then how?","['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/19756/Announcement-article-for-2024-policy-changes,article
19756,"seller arranged for shipment , courier no turn up , order cancelled, who pay seller's advertising fees and sales profits?","['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/19756/Announcement-article-for-2024-policy-changes,article
6823,We pack so fast Also useless cos Spx express won’t come on time ,"['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/6823?utm_medium=notification&utm_source=appar,article
6823,"seller prepared and arranged to ship customer's order via shopee seller center, yet Shopee's courier did not pick up from seller. So whos problem now?","['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/6823?utm_medium=notification&utm_source=webar,article
14234,I am unable to find any help to get the results shown in the video ,"['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/14234/product-variations-,article
