Article ID,Feedback 1,Comments,Label(s),Link to Article,Type,feedbacks_per_article
20671,I didn't find any useful information.,The response to form is not satisfactory ,Genuine Question,https://seller.shopee.sg/edu/article/20671?utm_medium=notification&utm_source=appar&__dsrn__=1,article,2
20671,I didn't find any useful information.,"NDD is bad on us preferred sellers who do not work on Saturdays. Its a lose situation, no customers getting order = no profit for shopee and seller",Negative Complaint,https://seller.shopee.sg/edu/article/20671,article,2
7077,I didn't find any useful information.,i want to ban all voucher ,Unknown,https://seller.shopee.sg/edu/article/7077/about-voucher-campaign,article,1
1104,I didn't find any useful information.,there's wasnt any pricing for Ninja van ,Design Feedback,https://seller.shopee.sg/edu/article/1104/shipping-fee-rates-shopee-supported-logistics,article,1
7083,There were broken links.,"signup button for cashback is missing from campaign page, even when cleared cache",Design Feedback,https://seller.shopee.sg/edu/article/7083/about-coins-cashback-programme,article,1
11695,I didn't find any useful information.,shoppee you should review your msg prompt. It says Please maintain respectful communication. User may report messages.  politely Iask bout the product,Constructive Criticism,https://seller.shopee.sg/edu/article/11695/chat-violations,article,1
17237,I didn't find any useful information.,Is there other guidelines for frozen products?,Genuine Question,https://seller.shopee.sg/edu/article/17237,article,1
15140,I didn't find any useful information.,BULLSHIT. A BOOK WAS SO OBVIOUSLY PHOTOCOPIED. ANY IDIOT KNOWS THIS IS ILLEGAL. YET YOU NEED PROOF OF COPYRIGHT WHICH BUYERS WON'T HAVE!?,Negative Complaint,https://seller.shopee.sg/edu/article/15140/brand-ip-portal?csFillToken=eeb3675e-d2da-4f4e-a9e2-6f7a0dff5e13,article,1
19689,I didn't find any useful information.|The lessons were too difficult.,We trying very hard to opt out of NDD and everytime got rejected.We have a manpower shortage and yet NDD was force down our throat.,Negative Complaint,https://seller.shopee.sg/edu/article/19689,article,1
23794,I didn't find any useful information.,"Our operation hous is less than 8 hours, how to complete",Genuine Question,https://seller.shopee.sg/edu/article/23794,article,1
