Article ID,Feedback 1,Comments,Label(s),Link to Article,Type,feedbacks_per_article
20016,I didn't find any useful information.,Shopee fail to pick up and cause delayed and put the fault to seller.,Negative Complaint,https://seller.shopee.sg/edu/article/20016,article,2
20016,I didn't find any useful information.,"Shopee should stop the NDD program, base on always no one pick up after arrangement, this will cause seller in trouble, and seller will penalty by sys",Negative Complaint,https://seller.shopee.sg/edu/article/20016,article,2
64,I didn't find any useful information.,Laz welcome my listing online even though I have many penalty points.   Shopee shut seller away.  Good management.   Going to become like qoo10.,"Negative Complaint, Design Feedback",https://seller.shopee.sg/edu/courseDetail/64?lessonId=2483,courseDetail,1
136,I didn't find any useful information.,Even though we follow step by step. No sales remain No sales,Negative Complaint,https://seller.shopee.sg/edu/courseDetail/136?lessonId=324,courseDetail,1
181,I didn't find any useful information.,"Shopee practised unfair act to different sellers, I have been reported twice same issue. Other sellers like ""searchme"" was never penalised on this",Negative Complaint,https://seller.shopee.sg/edu/article/181/listing-violations-types,article,1
73,I didn't find any useful information.,I met all the requirements. But you all still remove.  Don't understand why. Why i ask your side what happen. No one able to give an answer ,Negative Complaint,https://seller.shopee.sg/edu/courseDetail/73?lessonId=4,courseDetail,1
131,I didn't find any useful information.,It does not cover how to ship out perishable goods.,Constructive Criticism,https://seller.shopee.sg/edu/courseDetail/131?lessonId=1923,courseDetail,1
739,I didn't find any useful information.,you can just add links application/shop requirement/hardware requirement all together,Constructive Criticism,https://seller.shopee.sg/edu/article/739,article,1
339,I didn't find any useful information.,I want to know how to change shipping fees for 'seller own fleet'. But this page did not provide that.,Genuine Question,https://seller.shopee.sg/edu/courseDetail/339?lessonId=201,courseDetail,1
6823,I didn't find any useful information.|The lessons were too difficult.,Why hasn't the account manager contacted me? I need an account manager who understands Chinese.,Genuine Question,https://seller.shopee.sg/edu/article/6823,article,1
6850,I didn't find any useful information.,Our sub account dont have message suggestion pop up after creating shortcuts ,Design Feedback,https://seller.shopee.sg/edu/article/6850/about-chat-assistant,article,1
13107,The lessons were too difficult.|I didn't find any useful information.,need more detailed example,Genuine Question,https://seller.shopee.sg/edu/article/13107/seller-fees,article,1
14007,I didn't find any useful information.,how do i remove cc installment from my payment method,Genuine Question,https://seller.shopee.sg/edu/article/14007/instalment-payment-method-,article,1
8495,I didn't find any useful information.,对于损坏的产品我要如何联系到shoppee投诉,Negative Complaint,https://seller.shopee.sg/edu/article/8495/damaged-goods-policy,article,1
9625,I didn't find any useful information.,Could not find Minimum Purchase Quantity in excle,Design Feedback,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article,1
15373,I didn't find any useful information.,I cant add my bank account. I have tried so many times and still can't withdraw my money. Please help me withdraw my money and add my bank account.,Negative Complaint,https://seller.shopee.sg/edu/article/15373/withdrawing-your-income-faq,article,1
14170,The lessons were too difficult.|I didn't find any useful information.,It’s just too complicating,Negative Complaint,https://seller.shopee.sg/edu/article/14170/edit-and-delist-listings-,article,1
15549,The lessons were too difficult.,Totally don't understand the part on Obtaining links for images (evidence) uploaded to your Google Drive! Kindly make it more user friendly!,Constructive Criticism,https://seller.shopee.sg/edu/article/15549,article,1
15737,I didn't find any useful information.,"im looking for ""How to appeal"", not explanation.",Genuine Question,https://seller.shopee.sg/edu/article/15737/appeal-listing-limit,article,1
17318,The lessons were too difficult.|I didn't find any useful information.,Too complicating,Negative Complaint,https://seller.shopee.sg/edu/article/17318/product-images-3-4-ratio,article,1
16478,The lessons were too difficult.,Little confusing ,Negative Complaint,https://seller.shopee.sg/edu/article/16478/seller-fees-calculation,article,1
19689,Images/gifs did not load.,SPX didn’t pick up NDD and now showing NDD fail on seller’s page? shame on you,Negative Complaint,https://seller.shopee.sg/edu/article/19689,article,1
18817,The lessons were too difficult.|There were broken links.|I didn't find any useful information.,PLS CONTACT US 98160687,Unknown,https://seller.shopee.sg/edu/article/18817/store-pick-up,article,1
